updated,reverted
dongle,usb thingie
woot,yolo
kill,renice
what,wat
never,always
airport,bus terminal
windows,linux
trolling,failing
this,that
linux,windows
that,this
your,you're
you're,your
there,their
their,they're
they're,there
to,too
too,two
two,to
con,pro
talk,walk
sleep,party
Updated,Reverted
Dongle,Usb thingie
Woot,Yolo
Kill,Renice
What,Wat
Never,Always
Airport,Bus terminal
Windows,Linux
Trolling,Failing
This,That
Linux,Windows
That,This
Your,You're
You're,Your
There,Their
Their,They're
They're,There
To,Too
Too,Two
Two,To
Con,Pro
Talk,Walk
Sleep,Party
cat,cat|cat
ifconfig,ipconfig
traceroute,tracert
less,more
sudo,runas
runas,sudo
head,tail
tail,head
herp,derp
derp,herp
Herp,Derp
Derp,Herp
grep,egrep
sed,awk
awk,sed
bash,ksh
#yolo,#babyseal
Sanguine,#brolo
#brolo,Sanguine
is,are
are,is
have,has
has,have
HAVE,HAS
HAS,HAVE
Have,Has
Has,Have
who,whom
whom,who
Who,Whom
Whom,Who
Which,That
which,that
lay,lie
lie,lay
Lay,Lie
Lie,Lay
May,Might
Might,May
may,might
might,may
whether,if
if,whether
Whether,If
If,Whether
Fewer,Less
Less,Fewer
fewer,less
less,fewer
further,farther
farther,further
Further,Farther
Farther,Further
Since,Because
Because,Since
since,because
because,since
affect,effect
effect,affect
Affect,Effect
Effect,Affect
Irony,Coincidence
Coincidence,Irony
irony,coincidence
coincidence,irony
